Year,Þjónusta,Value
2004.0,Fjöldi viðskiptabankaútibúa,90.9
2005.0,Fjöldi viðskiptabankaútibúa,86.18
2006.0,Fjöldi viðskiptabankaútibúa,77.58
2007.0,Fjöldi viðskiptabankaútibúa,73.31
2008.0,Fjöldi viðskiptabankaútibúa,69.68
2009.0,Fjöldi viðskiptabankaútibúa,60.84
2010.0,Fjöldi viðskiptabankaútibúa,57.56
2011.0,Fjöldi viðskiptabankaútibúa,52.21
2012.0,Fjöldi viðskiptabankaútibúa,47.15
2013.0,Fjöldi viðskiptabankaútibúa,43.14
2014.0,Fjöldi viðskiptabankaútibúa,40.3
2015.0,Fjöldi viðskiptabankaútibúa,36.42
2016.0,Fjöldi viðskiptabankaútibúa,35.47
2017.0,Fjöldi viðskiptabankaútibúa,34.38
2018.0,Fjöldi viðskiptabankaútibúa,31.21
2019.0,Fjöldi viðskiptabankaútibúa,30.08
2020.0,Fjöldi viðskiptabankaútibúa,27.86
2021.0,Fjöldi viðskiptabankaútibúa,26.39
2022.0,Fjöldi viðskiptabankaútibúa,25.38
2004.0,Fjöldi hraðbanka,105.9
2005.0,Fjöldi hraðbanka,111.29
2006.0,Fjöldi hraðbanka,106.25
2007.0,Fjöldi hraðbanka,106.48
2008.0,Fjöldi hraðbanka,101.71
2009.0,Fjöldi hraðbanka,79.14
2010.0,Fjöldi hraðbanka,81.38
2011.0,Fjöldi hraðbanka,75.94
2012.0,Fjöldi hraðbanka,73.87
2013.0,Fjöldi hraðbanka,76.18
2014.0,Fjöldi hraðbanka,78.69
2015.0,Fjöldi hraðbanka,73.59
2016.0,Fjöldi hraðbanka,88.85
2017.0,Fjöldi hraðbanka,88.3
2018.0,Fjöldi hraðbanka,85.57
2019.0,Fjöldi hraðbanka,77.24
2020.0,Fjöldi hraðbanka,72.51
2021.0,Fjöldi hraðbanka,69.94
2022.0,Fjöldi hraðbanka,66.5
,,
