Year,Starfsgrein,Value
2000,Medical doctors,41.35
2001,Medical doctors,41.64
2002,Medical doctors,42.75
2003,Medical doctors,43.57
2004,Medical doctors,43.23
2005,Medical doctors,43.33
2006,Medical doctors,43.18
2007,Medical doctors,43.1
2008,Medical doctors,42.98
2009,Medical doctors,42.33
2010,Medical doctors,41.94
2011,Medical doctors,41.01
2012,Medical doctors,35.73
2013,Medical doctors,36.29
2014,Medical doctors,36.63
2015,Medical doctors,43.76
2016,Medical doctors,38.85
2017,Medical doctors,45.07
2018,Medical doctors,45.26
2019,Medical doctors,44.93
2020,Medical doctors,49.4
2021,Medical doctors,49.95
2022,Medical doctors,50.37
2000,Nursing and midwifery personnel,87.55
2001,Nursing and midwifery personnel,89.78
2002,Nursing and midwifery personnel,88.98
2003,Nursing and midwifery personnel,93.25
2004,Nursing and midwifery personnel,94.61
2005,Nursing and midwifery personnel,94.63
2006,Nursing and midwifery personnel,93.6
2007,Nursing and midwifery personnel,96.66
2008,Nursing and midwifery personnel,94.43
2009,Nursing and midwifery personnel,91.93
2010,Nursing and midwifery personnel,91.4
2011,Nursing and midwifery personnel,95.56
2012,Nursing and midwifery personnel,99.04
2013,Nursing and midwifery personnel,102.19
2014,Nursing and midwifery personnel,101.39
2015,Nursing and midwifery personnel,102.25
2016,Nursing and midwifery personnel,90.4
2017,Nursing and midwifery personnel,96.2
2018,Nursing and midwifery personnel,98.72
2019,Nursing and midwifery personnel,104.9
2020,Nursing and midwifery personnel,106.77
2021,Nursing and midwifery personnel,106.78
2022,Nursing and midwifery personnel,106.82
2000,Lyfjafræðingar,10.54
2001,Lyfjafræðingar,10.87
2002,Lyfjafræðingar,11.69
2003,Lyfjafræðingar,11.72
2004,Lyfjafræðingar,11.94
2005,Lyfjafræðingar,12.09
2006,Lyfjafræðingar,12.24
2007,Lyfjafræðingar,12.45
2008,Lyfjafræðingar,17.56
2009,Lyfjafræðingar,17.57
2010,Lyfjafræðingar,18.01
2011,Lyfjafræðingar,18.72
2012,Lyfjafræðingar,17.52
2013,Lyfjafræðingar,12.37
2014,Lyfjafræðingar,12.59
2015,Lyfjafræðingar,12.73
2016,Lyfjafræðingar,12.51
2017,Lyfjafræðingar,12.65
2018,Lyfjafræðingar,12.86
2019,Lyfjafræðingar,12.66
2020,Lyfjafræðingar,13.18
2021,Lyfjafræðingar,13.15
2022,Lyfjafræðingar,13.05
2000,Tannlæknar,10.14
2001,Tannlæknar,10.06
2002,Tannlæknar,10.05
2003,Tannlæknar,9.98
2004,Tannlæknar,9.88
2005,Tannlæknar,9.84
2006,Tannlæknar,9.54
2007,Tannlæknar,9.56
2008,Tannlæknar,9.54
2009,Tannlæknar,9.21
2010,Tannlæknar,9.41
2011,Tannlæknar,8.89
2012,Tannlæknar,8.45
2013,Tannlæknar,8.45
2014,Tannlæknar,8.41
2015,Tannlæknar,8.45
2016,Tannlæknar,8.36
2017,Tannlæknar,8.25
2018,Tannlæknar,8.29
2019,Tannlæknar,7.98
2020,Tannlæknar,7.96
2021,Tannlæknar,7.97
2022,Tannlæknar,8.0
